name,sector,country,description,revenue,ebitda,total_debt,cash,revenue_growth,enterprise_value
Apex Logistics Software,technology,US,Cloud-based freight management and route optimization SaaS for mid-market carriers,145000000,38000000,60000000,30000000,0.32,820000000
Meridian Health Systems,healthcare,US,Revenue-cycle management platform automating hospital billing and claims,88000000,19000000,25000000,18000000,0.27,540000000
Cipher Data Tools,technology,IN,Data pipeline observability and quality monitoring software,52000000,9000000,12000000,35000000,0.51,680000000
Quartz Analytics,technology,US,Marketing attribution and customer analytics platform,38000000,4000000,8000000,15000000,0.62,520000000
Northbridge Diagnostics,healthcare,GB,AI-assisted radiology workflow and reporting software,64000000,11000000,18000000,22000000,0.29,470000000
Volt Energy Partners,energy,GB,Grid-scale battery storage developer and operator,260000000,72000000,400000000,40000000,0.14,1900000000
Harbor Consumer Brands,consumer,US,Direct-to-consumer premium home goods,310000000,41000000,120000000,22000000,0.08,720000000
Sterling Industrial,industrials,DE,Precision-engineered components for automotive OEMs,420000000,68000000,210000000,55000000,0.06,1100000000
Nimbus Fintech,financials,SG,SME lending and embedded payments platform,76000000,14000000,30000000,60000000,0.44,910000000
Vantage Software Group,technology,US,Vertical ERP software for the construction industry,198000000,52000000,140000000,28000000,0.21,1300000000
